"Species" "Domain" "Min.sup" "Max.sup" "Classif" "NaCl." "Unit" "Year" "Genus" "Family" "Order" "Class" "Phylum" "Kingdom"
"24" "Lacinutrix copepodicola" "B" 0.1 2 "No Class" "s" "m" 2005 "Lacinutrix" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"25" "Subsaximicrobium saxinquilinus" "B" 0.1 2 "No Class" "s" "m" 2005 "Subsaximicrobium" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"26" "Subsaximicrobium wynnwilliamsii" "B" 0.25 2 "No Class" "s" "m" 2005 "Subsaximicrobium" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"27" "Thiomicrorhabdus heinhorstiae" "B" 0.08 0.689 "Moderate" "s" "m" 2022 "Thiomicrorhabdus" "Piscirickettsiaceae" "Beggiatoales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"28" "Acidihalobacter ferrooxydans " "B" 0.06 0.856 "Tolerant" "s" "m" 2019 "Acidihalobacter" "Ectothiorhodospiraceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"29" "Acidihalobacter aeolianus" "B" 0.06 1.283 "Tolerant" "s" "m" 2019 "Acidihalobacter" "Ectothiorhodospiraceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"30" "Acidihalobacter yilgarnensis" "B" 0 1.283 "Tolerant" "s" "m" 2020 "Acidihalobacter" "Ectothiorhodospiraceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"32" "Methanolobus vulcani" "A" 0.1 1.2 "Slight" "s" "m" 1995 "Methanolobus" "Methanosarcinaceae" "Methanosarcinales" "Methanosarcinia" "Methanobacteriota" "Methanobacteriati"
"35" "Methanohalophilus portucalensis" "A" 0.5 2 "Moderate" "s" "m" 1993 "Methanohalophilus" "Methanosarcinaceae" "Methanosarcinales" "Methanosarcinia" "Methanobacteriota" "Methanobacteriati"
"36" "Methanolobus bombayensis" "A" 0.25 2 "Slight" "s" "m" 1994 "Methanolobus" "Methanosarcinaceae" "Methanosarcinales" "Methanosarcinia" "Methanobacteriota" "Methanobacteriati"
"38" "Defluviitoga tunisiensis" "B" 0.0342231348391513 0.513347022587269 "Slight" "s" "p" 2012 "Defluviitoga" "Petrotogaceae" "Petrotogales" "Thermotogae" "Thermotogota" "Thermotogati"
"39" "Thiohalobacter thiocyanaticus" "B" 0.2 3 "Moderate" "s" "m" 2010 "Thiohalobacter" "Thiohalobacteraceae" "Thiohalobacterales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"40" "Desulfobaculum xiamenense" "B" 0.0342231348391513 0.598904859685147 "Moderate" "s" "p" 2012 "Desulfobaculum" "Desulfovibrionaceae" "Desulfovibrionales" "Deltaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"41" "Tistlia consotensis" "B" 0 0.684462696783025 "Slight" "s" "p" 2010 "Tistlia" "Rhodovibrionaceae" "Rhodospirillales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"42" "Winogradskyella ulvae" "B" 0.0855578370978782 0.684462696783025 "Slight" "s" "p" 2012 "Winogradskyella" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"43" "Paenibacillus ripae" "B" 0 1.02669404517454 "Tolerant" "s" "p" 2015 "Paenibacillus" "Paenibacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"44" "Nocardioides daedukensis" "B" 0 1.54004106776181 "Tolerant" "s" "p" 2010 "Nocardioides" "Nocardioidaceae" "Propionibacteriales" "Actinomycetes" "Actinomycetota" "Bacillati"
"48" "Methanolobus halotolerans" "A" 0 1.55 "Tolerant" "s" "m" 2020 "Methanolobus" "Methanosarcinaceae" "Methanosarcinales" "Methanosarcinia" "Methanobacteriota" "Methanobacteriati"
"52" "Marinobacter nauticus" "B" 0.08 3.5 "Extreme" "s" "m" 1992 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"53" "Methanobacterium petrolearium" "A" 0 1.2 "Tolerant" "s" "m" 2011 "Methanobacterium" "Methanobacteriaceae" "Methanobacteriales" "Methanobacteria" "Methanobacteriota" "Methanobacteriati"
"54" "Methanosalsum zhilinae" "A" 0.2 2.1 "No Class" "s" "m" 1988 "Methanosalsum" "Methanosarcinaceae" "Methanosarcinales" "Methanosarcinia" "Methanobacteriota" "Methanobacteriati"
"55" "Nitrincola lacisaponensis" "B" 0.2 1.3 "Tolerant" "s" "m" 2005 "Nitrincola" "Oceanospirillaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"56" "Methylomicrobium japanense" "B" 0.03 1.5 "Slight" "s" "m" 2008 "Methylomicrobium" "Methylococcaceae" "Methylococcales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"57" "Rhodovulum strictum" "B" 0.0427789185489391 0.513347022587269 "Slight" "s" "p" 1995 "Rhodovulum" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"58" "Methanobacterium aarhusense" "A" 0.05 1 "Moderate" "s" "m" 2004 "Methanobacterium" "Methanobacteriaceae" "Methanobacteriales" "Methanobacteria" "Methanobacteriota" "Methanobacteriati"
"60" "Neobacillus mesonae" "B" 0 0.342231348391513 "Tolerant" "s" "p" 2014 "Neobacillus" "Cytobacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"61" "Spiribacter roseus" "B" 0.8 2.2 "Moderate" "s" "m" 2016 "Spiribacter" "Ectothiorhodospiraceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"62" "Thiohalomonas nitratireducens" "B" 1 2.5 "Moderate" "s" "m" 2007 "Thiohalomonas" "Ectothiorhodospiraceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"63" "Flavobacterium tibetense" "B" 0 0.513347022587269 "Tolerant" "s" "p" 2019 "Flavobacterium" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"64" "Methylothermus thermalis" "B" 0 0.513347022587269 "Tolerant" "s" "p" 2005 "Methylothermus" "Incertae sedis" "Incertae sedis" "Incertae sedis" "Incertae sedis" "Incertae sedis"
"65" "Psychroflexus gondwanensis" "B" 0 3 "Moderate" "s" "m" 1993 "Psychroflexus" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"66" "Tabrizicola alkalilacus" "B" 0 0.513347022587269 "Tolerant" "s" "p" 2019 "Tabrizicola" "Paracoccaceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"67" "Mangroviflexus xiamenensis" "B" 0.0342231348391513 0.598904859685147 "Moderate" "s" "p" 2012 "Mangroviflexus" "Marinilabiliaceae" "Bacteroidales" "Bacteroidia" "Bacteroidota" "Pseudomonadati"
"68" "Mongoliitalea lutea" "B" 0 0.94113620807666 "Tolerant" "s" "p" 2012 "Mongoliitalea" "Cyclobacteriaceae" "Cytophagales" "Cytophagia" "Bacteroidota" "Pseudomonadati"
"69" "Lactiplantibacillus brownii" "B" 0 1.02669404517454 "Slight" "s" "p" 2023 "Lactiplantibacillus" "Lactobacillaceae" "Lactobacillales" "Bacilli" "Bacillota" "Bacillati"
"70" "Alkalicella caledoniensis" "B" 0 1.19780971937029 "Tolerant" "s" "p" 2021 "Alkalicella" "Proteinivoracaceae" "Eubacteriales" "Clostridia" "Bacillota" "Bacillati"
"71" "Anaerobaculum hydrogeniformans" "B" 0.136892539356605 1.19780971937029 "No Class" "s" "p" 2012 "Anaerobaculum" "Synergistaceae" "Synergistales" "Synergistia" "Synergistota" "Thermotogati"
"72" "Mangrovibacter phragmitis" "B" 0 1.36892539356605 "Slight" "s" "p" 2017 "Mangrovibacter" "Enterobacteriaceae" "Enterobacterales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"73" "Paucisalibacillus globulus" "B" 0 1.36892539356605 "Slight" "s" "p" 2006 "Paucisalibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"74" "Pelagibacterium montanilacus" "B" 0 1.36892539356605 "Tolerant" "s" "p" 2018 "Pelagibacterium" "Devosiaceae" "Hyphomicrobiales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"75" "Yimella lutea" "B" 0 1.36892539356605 "Tolerant" "s" "p" 2010 "Yimella" "Dermacoccaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"76" "Tepidibacter mesophilus" "B" 0 1.54004106776181 "Tolerant" "s" "p" 2012 "Tepidibacter" "Tepidibacteraceae" "Eubacteriales" "Clostridia" "Bacillota" "Bacillati"
"77" "Alkalispirochaeta cellulosivorans" "B" 0 1.71115674195756 "Tolerant" "s" "p" 2016 "Alkalispirochaeta" "Spirochaetaceae" "Spirochaetales" "Spirochaetia" "Spirochaetota" "Pseudomonadati"
"78" "Alkalispirochaeta odontotermitis" "B" 0 1.71115674195756 "Tolerant" "s" "p" 2015 "Alkalispirochaeta" "Spirochaetaceae" "Spirochaetales" "Spirochaetia" "Spirochaetota" "Pseudomonadati"
"79" "Microbulbifer guangxiensis" "B" 0.171115674195756 1.71115674195756 "Tolerant" "s" "p" 2023 "Microbulbifer" "Microbulbiferaceae" "Cellvibrionales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"80" "Marinomonas algicida" "B" 0.171115674195756 2.05338809034908 "Moderate" "s" "p" 2017 "Marinomonas" "Oceanospirillaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"81" "Metabacillus indicus" "B" 0 2.05338809034908 "Tolerant" "s" "p" 2005 "Metabacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"82" "Methanocalculus chunghsingensis" "A" 0 2.05338809034908 "Tolerant" "s" "p" 2004 "Methanocalculus" "Methanocalculaceae" "Methanomicrobiales" "Methanomicrobia" "Methanobacteriota" "Methanobacteriati"
"83" "Nesterenkonia alkaliphila" "B" 0 2.05338809034908 "Tolerant" "s" "p" 2015 "Nesterenkonia" "Micrococcaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"84" "Marinimicrobium agarilyticum" "B" 0 2.22450376454483 "Tolerant" "s" "p" 2006 "Marinimicrobium" "Cellvibrionaceae" "Cellvibrionales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"85" "Rossellomorea vietnamensis" "B" 0 2.56673511293635 "Tolerant" "s" "p" 2004 "Rossellomorea" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"86" "Thermanaeromonas burensis" "B" 0 0.342231348391513 "Tolerant" "s" "g" 2016 "Thermanaeromonas" "Moorellaceae" "Moorellales" "Clostridia" "Bacillota" "Bacillati"
"87" "Fuchsiella ferrireducens" "B" 0.2 2.7 "No Class" "s" "m" 2015 "Fuchsiella" "Halobacteroidaceae" "Halanaerobiales" "Clostridia" "Bacillota" "Bacillati"
"88" "Virgibacillus halodenitrificans" "B" 0.35 4.25 "Moderate" "s" "m" 1989 "Virgibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"89" "Halomonas israelensis" "B" 0.599 3.425 "Moderate" "s" "m" 1998 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"90" "Halomonas canadensis" "B" 0.514 4.281 "Moderate" "s" "m" 1998 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"92" "Natranaerobaculum magadiense" "B" 0 1.55 "Tolerant" "s" "m" 2013 "Natranaerobaculum" "Natranaerobiaceae" "Natranaerobiales" "Clostridia" "Bacillota" "Bacillati"
"93" "Alkalispirochaeta alkalica" "B" 0.51 1.71 "No Class" "s" "m" 1996 "Alkalispirochaeta" "Spirochaetaceae" "Spirochaetales" "Spirochaetia" "Spirochaetota" "Pseudomonadati"
"94" "Ignicoccus hospitalis" "A" 0.0855578370978782 0.855578370978782 "Moderate" "s" "p" 2007 "Ignicoccus" "Desulfurococcaceae" "Desulfurococcales" "Thermoprotei" "Thermoproteota" "Thermoproteati"
"95" "Ruegeria profundi" "B" 0.5 1.9 "Moderate" "s" "m" 2017 "Ruegeria" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"96" "Methylohalobius crimeensis" "B" 0.2 2.5 "Moderate" "s" "m" 2005 "Methylohalobius" "Methylothermaceae" "Methylococcales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"97" "Photobacterium frigidiphilum" "B" 0.171115674195756 0.513347022587269 "Slight" "s" "p" 2005 "Photobacterium" "Vibrionaceae" "Vibrionales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"98" "Hydrogenovibrio halophilus" "B" 0.5 3.5 "Moderate" "s" "m" 2006 "Hydrogenovibrio" "Piscirickettsiaceae" "Beggiatoales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"100" "Consotaella salsifontis" "B" 0 1.19780971937029 "Slight" "s" "p" 2017 "Consotaella" "Aurantimonadaceae" "Hyphomicrobiales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"101" "Photobacterium halotolerans" "B" 0 1.36892539356605 "Tolerant" "s" "p" 2006 "Photobacterium" "Vibrionaceae" "Vibrionales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"102" "Mobilitalea sibirica" "B" 0 1.45448323066393 "Tolerant" "s" "p" 2014 "Mobilitalea" "Lachnospiraceae" "Eubacteriales" "Clostridia" "Bacillota" "Bacillati"
"103" "Defluviimonas aestuarii" "B" 0 1.71115674195756 "Moderate" "s" "p" 2013 "Defluviimonas" "Paracoccaceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"104" "Marinobacter aromaticivorans" "B" 0.0855578370978782 1.71115674195756 "Tolerant" "s" "p" 2016 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"105" "Alkalibacterium pelagium" "B" 0 2.90896646132786 "Slight" "s" "p" 2009 "Alkalibacterium" "Carnobacteriaceae" " Lactobacillales" "Bacilli" "Bacillota" "Bacillati"
"106" "Roseovarius nitratireducens" "B" 0.0855578370978782 3.08008213552361 "Tolerant" "s" "p" 2018 "Roseovarius" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"107" "Methanohalophilus mahii" "A" 0.3 2.5 "Moderate" "s" "m" 1988 "Methanohalophilus" "Methanosarcinaceae" "Methanosarcinales" "Methanosarcinia" "Methanobacteriota" "Methanobacteriati"
"108" "Ruegeria marisrubri" "B" 0.5 2.6 "Moderate" "s" "m" 2017 "Ruegeria" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"109" "Marimicrobium arenosum" "B" 0 0.513347022587269 "Moderate" "s" "p" 2016 "Marimicrobium" "Halieaceae" "Cellvibrionales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"110" "Soortia roseihalophila" "B" 0.171115674195756 0.513347022587269 "Slight" "s" "p" 2017 "Soortia" "Soortiaceae" "Balneolales" "Balneolia" "Balneolota" "Pseudomonadati"
"111" "Thiohalomonas denitrificans" "B" 1 3 "Moderate" "s" "m" 2007 "Thiohalomonas" "Ectothiorhodospiraceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"112" "Microbacterium algeriense" "B" 0.0513347022587269 0.598904859685147 "Tolerant" "s" "p" 2020 "Microbacterium" "Microbacteriaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"113" "Calditerricola satsumensis" "B" 0.0513347022587269 0.684462696783025 "Tolerant" "s" "p" 2011 "Calditerricola" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"114" "Fonticella tunisiensis" "B" 0 0.684462696783025 "Tolerant" "s" "p" 2013 "Fonticella" "Clostridiaceae" "Eubacteriales" "Clostridia" "Bacillota" "Bacillati"
"115" "Methylohalomonas lacus" "B" 0.5 4 "Moderate" "s" "m" 2007 "Methylohalomonas" "Ectothiorhodospiraceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"116" "Methylonatrum kenyense" "B" 0.5 4 "Moderate" "s" "m" 2007 "Methylonatrum" "Ectothiorhodospiraceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"117" "Nesterenkonia halobia" "B" 1 4 "Moderate" "s" "m" 1972 "Nesterenkonia" "Micrococcaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"118" "Parathalassolituus penaei" "B" 0 0.684462696783025 "No Class" "s" "p" 2023 "Parathalassolituus" "Oceanospirillaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"119" "Shewanella halifaxensis" "B" 0.0855578370978782 0.684462696783025 "Slight" "s" "p" 2006 "Shewanella" "Shewanellaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"120" "Shewanella sediminis" "B" 0.171115674195756 0.684462696783025 "Moderate" "s" "p" 2005 "Shewanella" "Shewanellaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"121" "Thiohalospira alkaliphila" "B" 0.5 4 "Extreme" "s" "m" 2008 "Thiohalospira" "Ectothiorhodospiraceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"123" "Thioprofundum hispidum" "B" 0.171115674195756 0.684462696783025 "Moderate" "s" "p" 2011 "Thioprofundum" "Thioprofundaceae" "Chromatiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"124" "Haloarchaeobius salinus" "A" 1.4 4.8 "No Class" "s" "m" 2015 "Haloarchaeobius" "Halobacteriaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"125" "Halorussus amylolyticus" "A" 1.4 4.8 "No Class" "s" "m" 2015 "Halorussus" "Halobacteriaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"126" "Actibacterium naphthalenivorans" "B" 0.171115674195756 0.855578370978782 "Moderate" "s" "p" 2015 "Actibacterium" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"127" "Aminobacterium thunnarium" "B" 0.171115674195756 0.855578370978782 "Slight" "s" "p" 2015 "Aminobacterium" "Synergistaceae" "Synergistales" "Synergistia" "Synergistota" "Thermotogati"
"129" "Desulfobaculum bizertense" "B" 0.0855578370978782 0.855578370978782 "Slight" "s" "p" 2006 "Desulfobaculum" "Desulfovibrionaceae" "Desulfovibrionales" "Deltaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"130" "Desulfonauticus submarinus" "B" 0 0.855578370978782 "Slight" "s" "p" 2003 "Desulfonauticus" "Desulfohalobiaceae" "Desulfovibrionales" "Deltaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"131" "Dethiosulfovibrio marinus" "B" 0.0855578370978782 0.855578370978782 "Slight" "s" "p" 2001 "Dethiosulfovibrio" "Dethiosulfovibrionaceae" "Synergistales" "Synergistia" "Synergistota" "Thermotogati"
"132" "Dethiosulfovibrio russensis" "B" 0.0855578370978782 0.855578370978782 "Slight" "s" "p" 2001 "Dethiosulfovibrio" "Dethiosulfovibrionaceae" "Synergistales" "Synergistia" "Synergistota" "Thermotogati"
"133" "Endozoicomonas numazuensis" "B" 0.171115674195756 0.855578370978782 "Slight" "s" "p" 2013 "Endozoicomonas" "Endozoicomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"134" "Limibacillus halophilus" "B" 0 0.855578370978782 "Moderate" "s" "p" 2015 "Limibacillus" "Rhodovibrionaceae" "Rhodospirillales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"135" "Martelella mediterranea" "B" 0 0.855578370978782 "Tolerant" "s" "p" 2005 "Martelella" "Rhizobiaceae" "Hyphomicrobiales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"136" "Oceanisphaera sediminis" "B" 0.171115674195756 0.855578370978782 "Slight" "s" "p" 2012 "Oceanisphaera" "Aeromonadaceae" "Aeromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"137" "Pseudovibrio flavus" "B" 0.0855578370978782 0.855578370978782 "No Class" "s" "p" 2022 "Pseudovibrio" "Stappiaceae" "Hyphomicrobiales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"138" "Rhodophyticola porphyridii" "B" 0 0.855578370978782 "Moderate" "s" "p" 2019 "Rhodophyticola" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"139" "Robertmurraya crescens" "B" 0 0.855578370978782 "Tolerant" "s" "p" 2015 "Robertmurraya" "Cytobacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"140" "Ruegeria conchae" "B" 0.171115674195756 0.855578370978782 "Slight" "s" "p" 2012 "Ruegeria" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"141" "Thalassobius litorarius" "B" 0.171115674195756 0.855578370978782 "Slight" "s" "p" 2016 "Thalassobius" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"142" "Marinococcus halophilus" "B" 0 5.5 "No Class" "s" "m" 1976 "Marinococcus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"143" "Aestuariirhabdus litorea" "B" 0.171115674195756 1.02669404517454 "Moderate" "s" "p" 2020 "Aestuariirhabdus" "Aestuariirhabdaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"144" "Albirhodobacter confluentis" "B" 0 1.02669404517454 "Moderate" "s" "p" 2018 "Albirhodobacter" "Paracoccaceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"145" "Anaerosacchariphilus polymeriproducens" "B" 0 1.02669404517454 "Tolerant" "s" "p" 2019 "Anaerosacchariphilus" "Lachnospiraceae" "Eubacteriales" "Clostridia" "Bacillota" "Bacillati"
"146" "Arenibacter hampyeongensis" "B" 0.171115674195756 1.02669404517454 "Tolerant" "s" "p" 2013 "Arenibacter" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"147" "Lederbergia wuyishanensis" "B" 0 1.02669404517454 "Moderate" "s" "p" 2015 "Lederbergia" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"148" "Marinobacter nitratireducens" "B" 0.0855578370978782 1.02669404517454 "No Class" "s" "p" 2015 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"149" "Marinobacter xestospongiae" "B" 0.0855578370978782 1.02669404517454 "Slight" "s" "p" 2012 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"150" "Mongoliibacter ruber" "B" 0 1.02669404517454 "No Class" "s" "p" 2016 "Mongoliibacter" "Cyclobacteriaceae" "Cytophagales" "Cytophagia" "Bacteroidota" "Pseudomonadati"
